price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,listing_url
2.3 Crore,2.7,Marla,Islamabad,,House,1,Drawing Room,2026,Double Glazed Windows,,,1,,https://www.zameen.com/Property/park_view_city_park_view_city_-_downtown_block_fully_furnished_1_bed_lake_facing_apartment_top_floor_park_view_city_downtown-54031251-20871-1.html
1.35 Crore,8.8,Marla,Islamabad,"Country Club Apartments, Islamabad - Murree Expressway228.8 Marla",House,2,,,,,,,,https://www.zameen.com/Property/islamabad_murree_expressway_country_club_apartments_2_bed_apartment_with_large_view_balcony_murree_expressway_country_club_apartments-54022769-9681-1.html
12.4 Crore,14,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,3,2,1,3,,https://www.zameen.com/Property/g_13_g-13_3_brand_new_14_marla_double_unit_house_for_sale_in_g13-54231117-3339-1.html
1.6 Crore,5,Marla,Islamabad,,House,Bathrooms: 3,Drawing Room,2029,1,,1,1,,https://www.zameen.com/Property/fechs_jinnah_gardens_5_marla_brand_new_single_story_house_for_sale_in_jinnah_garden_phase_i-54323968-1420-1.html
3 Crore,12,Marla,Islamabad,,House,3,Servant Quarters: 1,2025,1,1,,1,,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_brand_new_3_bedroom_apartment_for_sale_in_askari_tower_5_dha_phase_5_islamabad-54082442-21450-1.html
1.1 Crore,4.2,Marla,Islamabad,,House,2,,2025,1,,,,,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_2_bedroom_flat_for_sale_in_el-cialo_tower_b-_al_ghurair_giga_dha_2_islamabad-54119157-9914-1.html
10 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 1,2025,2,1,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_stunning_house_available_for_sale_in_dha_phase_2_islamabad-54230115-339-1.html
4.65 Crore,6,Marla,Islamabad,,House,Bathrooms: 3,Servant Quarters: 1,2025,,1,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_6_marla_brand_new_house_for_sale-54238498-339-1.html
3.65 Crore,6,Marla,Islamabad,I-10,House,Bathrooms: 5,Servant Quarters: 1,2023,2,1,1,2,,https://www.zameen.com/Property/islamabad_i-10_6_marla_house_for_sale_in_i-10-54238345-173-1.html
12.5 Crore,2,Kanal,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,,6,1,1,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_swimming_pool_2_kanal_construction_house_at_prime_location_near_central_park-54021579-339-1.html
11.65 Crore,1,Kanal,Islamabad,,House,,,2025,6,,,,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_prime_location_ultra_modern_house_at_dha_for_sale-54001062-339-1.html
32 Crore,5,Kanal,Islamabad,,House,Bathrooms: 11,Servant Quarters,2023,Double Glazed Windows,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/gulberg_greens_gulberg_greens_-_block_b_block_b_luxurious_5_kanal_furnished_farmhouse_for_sale_heighted_prime_location-53113687-8314-1.html
5.5 Crore,10,Marla,Islamabad,,House,5,Servant Quarters: 1,2026,Double Glazed Windows,1,2,2,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_j_brand_new_designer_triple_storey_house_for_sale_in_sector_j_a_construction_5_bedroom_back_boulevard-facing_bahria_enclave_islamabad-54339585-11981-1.html
2.6 Crore,5,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_house_in_only_rs_2650000-53968923-8527-1.html
13.85 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 1,2025,3,1,1,1,,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_g_1_kanal_brand_new_house_for_sale_in_dha_phase_2_islamabad-53124450-3202-1.html
1.94 Crore,3.2,Marla,Islamabad,,House,,,,Flooring,,,,,https://www.zameen.com/Property/park_view_city_park_view_city_-_downtown_block_luxury_718_sq_ft_studio_apartment_for_sale_castle_heights_park_view_city_downtown-54345807-20871-1.html
1.43 Crore,4.7,Marla,Islamabad,,House,2,Dining Room,2026,24,,1,1,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_2_bedroom_apartment_for_sale_in_embassy_gardens_islamabad_margalla_murree_view-54366978-11987-1.html
12.8 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2025,3,1,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_semi-furnished_1_kanal_house_for_sale_in_dha_phase_2_islamabad-54250620-339-1.html
12.75 Crore,1,Kanal,Islamabad,,House,Bathrooms: 4,Drawing Room,2026,3,,,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_choose_and_buy_this_stunning_house_direct_from_the_owner-54008953-339-1.html
5.75 Crore,5.2,Marla,Islamabad,,House,Bathrooms: 1,Servant Quarters: 1,2022,Lobby in Building,1,1,1,,https://www.zameen.com/Property/f_8_the_centaurus_urgent_sale_luxury_1-bed_apartment_fully_furnished_in_the_centaurus_islamabad-47164972-8349-1.html
4.5 Crore,10,Marla,Islamabad,,House,,,2026,2,,,,,https://www.zameen.com/Property/kashmir_highway_eighteen_10_marla_luxury_fully_fitted_villa_available_for_sale_in_eighteen_islamabad-54197396-12602-1.html
4.55 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2024,2,1,1,2,,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_fully_furnished_10_marla_house_for_sale-53560812-9231-1.html
7.2 Crore,1,Kanal,Islamabad,Eighteen Islamabad Prime Location w...more,House,Bathrooms,Servant Quarters,,Double Glazed Windows,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/kashmir_highway_eighteen_eighteen_islamabad_prime_location_with_high_returns_for_sale-54213753-12602-1.html
2.5 Crore,11.2,Marla,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2025,3,2,1,3,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_fully_furnished_3-bed_luxury_corner_apartment_with_double_parking_galleria_bahria_enclave-54246496-11983-1.html
1.25 Crore,9.8,Marla,Islamabad,"E-11, Islamabad449.8 Marla",House,Bathrooms: 4,Drawing Room,2017,2,,,,,https://www.zameen.com/Property/islamabad_e-11_furnished_4-bed_luxury_apartment_for_sale_fortune_residency_e-11_4_islamabad-54273888-329-1.html
6.9 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2025,3,2,1,1,,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_g_one_kanal_ultra_luxury_designer_house_available_for_sale_in_dha_phase_2_islamabad-53624869-3202-1.html
11 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,3,2,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_kanal_brand_new_house_for_sale-54192124-339-1.html
23.75 Crore,17.8,Marla,Islamabad,"F-6, Islamabad5517.8 Marla",House,Bathrooms: 6,Servant Quarters: 2,2010,5,2,1,1,,https://www.zameen.com/Property/islamabad_f-6_f-6_prime_location_house_for_sale_reasonable_price-51391714-164-1.html
11.75 Crore,1,Kanal,Islamabad,,House,,,2026,3,,,,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_house_with_premium_drawing_room_with_imported_furniture-54238693-339-1.html
12.75 Crore,1,Kanal,Islamabad,,House,Bathrooms: 2,Servant Quarters: 1,2025,6,1,1,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_modern_designer_house_for_sale_at_dha_phase_ii_islamabad-54238690-339-1.html
3.5 Crore,10,Marla,Islamabad,D-12,House,Bathrooms: 4,Servant Quarters,2016,Double Glazed Windows,Drawing Room,1,2,,https://www.zameen.com/Property/islamabad_d-12_luxury_4-bed_villa_for_sale_in_karsaaz_villas_d-12_islamabad_scenic_margalla_hills_view_gated_community-52842099-160-1.html
1.07 Crore,5.1,Marla,Islamabad,,House,2,Servant Quarters: 1,2012,Lobby in Building,1,1,1,,https://www.zameen.com/Property/al_ghurair_giga_al-ghurair_giga_-_block_14_2_bedroom_furnished_apartment_for_sale_al-ghurair_giga_block_14_dha-2_islamabad-52650805-15118-1.html
13 Crore,1.1,Kanal,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_b_triple_unit_luxury_brand_new_22-marla_triple_storey_mansion_sector_b_dha_2-53549663-3197-1.html
1.45 Crore,10.7,Marla,Islamabad,"Country Club Apartments, Islamabad - Murree Expressway3210.7 Marla",House,Bathrooms: 5,Servant Quarters: 1,2012,2,1,1,2,,https://www.zameen.com/Property/islamabad_murree_expressway_country_club_apartments_wake_up_to_mountain_views_fully_furnished_3-bed_corner_luxury_apartment_for_sale-53549542-9681-1.html
2.63 Crore,6.7,Marla,Islamabad,"Islamabad - Murree Expressway, Islamabad226.7 Marla",House,Bathrooms: 5,Servant Quarters: 1,2025,2,1,1,2,,https://www.zameen.com/Property/islamabad_islamabad_-_murree_expressway_luxury_living_premium_2-bed_residence_in_prestigious_360_residencies-53538099-342-1.html
1.97 Crore,5.3,Marla,Islamabad,"Islamabad - Murree Expressway, Islamabad225.3 Marla",House,Bathrooms: 4,Drawing Room,,2,,2,1,,https://www.zameen.com/Property/islamabad_islamabad_-_murree_expressway_breathtaking_views_2-bed_apartment_overlooking_margalla_and_murree_hills_at_360_the_residencies-53335614-342-1.html
1.18 Crore,4.7,Marla,Islamabad,,House,Bathrooms: 2,,2025,1,,,,,https://www.zameen.com/Property/bahria_enclave_cube_apartments_luxury_one_bed_apartment_available_for_sale_in_cube_apartment_bahria_enclave_islamabad_sector_a-54363303-21520-1.html
16 Crore,14,Marla,Islamabad,D-12,House,Bathrooms: 6,Servant Quarters: 1,2025,2,1,1,2,,https://www.zameen.com/Property/islamabad_d-12_40_80_14_marla_brand_new_house_near_margala_road-54357411-160-1.html
10.5 Crore,1,Kanal,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c_a_house_of_1_kanal_in_rs_105000000-54331647-3118-1.html
15.3 Crore,14,Marla,Islamabad,D-12,House,Bathrooms: 5,Drawing Room,,,2,,2,,https://www.zameen.com/Property/islamabad_d-12_14_marla_spacious_house_is_available_in_d-12_for_sale-54065484-160-1.html
6.5 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Drawing Room,,,,,,,https://www.zameen.com/Property/d_12_d-12_4_beautifully_constructed_house_is_available_for_sale_in_d-12_4-54076104-3157-1.html
12.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 5,Servant Quarters,2025,2,Drawing Room,1,Study Room,,https://www.zameen.com/Property/kashmir_highway_eighteen_1_kanal_luxury_fully_fitted_villa_available_for_sale_in_eighteen_islamabad-54202612-12602-1.html
1.1 Crore,5.3,Marla,Islamabad,,House,Bathrooms: 3,,2022,RoomsBedrooms: 2Bathrooms: 3,,,,,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_luxury_living_fully_furnished_2-bed_corner_apartment_for_sale_in_capital_square_b-17-54295300-3115-1.html
5.5 Crore,10,Marla,Islamabad,Zaraj Housing Scheme,House,Bathrooms: 6,Drawing Room,,,,,2,,https://www.zameen.com/Property/islamabad_zaraj_housing_scheme_10_marla_brand_new_double_unit_designer_house_available_for_sale_in_zaraj_housing_society_secter_c-54188957-3508-1.html
4.5 Crore,4,Marla,Islamabad,G-13,House,,,,,,,2,,https://www.zameen.com/Property/islamabad_g-13_g-13_25x40_brand_new_modern_elevation_house_available_for_sale-54362678-330-1.html
9 Crore,10,Marla,Islamabad,G-13,House,,,,,,,2,2,https://www.zameen.com/Property/islamabad_g-13_g-13_35_70_brand_new_double_storey_house_available_for_sale-54366255-330-1.html
2.79 Crore,5,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2025,1,1,1,2,,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_5_marla_25x50_brand_new_double_unit_house_for_sale_in_block_c1_mpchs_multi_garden_b-17_islamabad-54111272-3115-1.html
2.6 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters,2026,1,Drawing Room,Steam Room,2,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_25x50_corner_single_unit_house_for_sale_in_block_f_mpchs_multi_garden_b17_islamabad-54143149-8527-1.html
2.5 Crore,5,Marla,Islamabad,,House,Bathrooms: 3,Servant Quarters: 1,2026,1,1,,1,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_5_marla_park_face_new_house_for_sale_in_sector_n_bahria_enclave_islamabad-54332299-11975-1.html
8.8 Crore,1,Kanal,Islamabad,,House,Bathrooms: 5,Drawing Room,,,,,1,,https://www.zameen.com/Property/dha_defence_phase_3_dha_phase_3_-_block_b_looking_for_a_corner_house_in_dha_phase_3_-_block_b_islamabad-54112153-16227-1.html
5.25 Crore,14,Marla,Islamabad,Zaraj Housing Scheme,House,Bathrooms: 5,Servant Quarters: 2,2018,6,2,2,2,,https://www.zameen.com/Property/islamabad_zaraj_housing_scheme_prime_location_14_marla_house_available_for_sale_in_zaraj_housing_scheme_if_you_hurry-52651965-3508-1.html
3.5 Crore,7,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2025,2,1,1,1,,https://www.zameen.com/Property/i_14_i-14_1_7_marla_brand_new_house_investor_rate-52796204-8340-1.html
4.1 Crore,7,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,5428,2,1,,2,1,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_i_7_marla_extraordinary_location_owner_built_house-54288514-9119-1.html
9.5 Crore,1,Kanal,Islamabad,,House,6,,2026,3,,,,,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_b_6_bedrooms_1_kanal_house_for_sale_in_dha_5-54351613-8401-1.html
3.1 Crore,6,Marla,Islamabad,Korang Town,House,4,Servant Quarters: 1,2022,Double Glazed Windows,1,,2,,https://www.zameen.com/Property/islamabad_korang_town_in_korang_town_6_marla_house_for_sale-53795369-445-1.html
10.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 2,2025,6,2,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_fully_furnished_spanish_style_corner_house_for_sale_in_dha_2_islamabad-53818994-339-1.html
14.25 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,3,2,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_fully_furnished_1_kanal_luxury_house_for_sale_in_dha_phase_2_islamabad-53836825-339-1.html
16 Crore,1,Kanal,Islamabad,,House,Bathrooms: 7,Servant Quarters: 1,2026,3,1,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_fully_furnished_luxury_house_for_sale_in_dha_phase_2_islamabad-53925006-339-1.html
6.7 Crore,10,Marla,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2024,2,1,1,2,,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_c_-_10_marla_dream_house_available-53930275-3198-1.html
15.8 Crore,1,Kanal,Islamabad,,House,,,2026,4,,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_luxurious_1_kanal_pool_house_for_sale-53935354-339-1.html
12.75 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 2,2026,2,2,1,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_modern_luxury_house_for_sale_in_dha_2_islamabad-53958920-339-1.html
5.4 Crore,5,Marla,Islamabad,D-12,House,Bathrooms: 5,Servant Quarters: 1,2025,1,1,1,1,,https://www.zameen.com/Property/islamabad_d-12_ideal_house_for_sale_in_d-12-54313029-160-1.html
10.5 Crore,1,Kanal,Islamabad,,House,Bathrooms: 6,Servant Quarters: 1,2026,3,1,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_1_kanal_modern_contemporary_luxury_house_for_sale_dha_2-54250135-339-1.html
2.2 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 0,2026,1,0,0,2,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_house_of_5_marla_is_available_for_sale_in_mpchs_-_block_f-54312597-8527-1.html
2.25 Crore,5,Marla,Islamabad,B-17,House,Bathrooms: 3,Drawing Room,2026,,,,1,3,https://www.zameen.com/Property/islamabad_b-17_brand_new_5_marla_investor_rate_house_only_2_25cr_-_f_block_sector_b17_islamabad-54362517-616-1.html
22 Crore,2,Kanal,Islamabad,,House,Bathrooms: 8,Servant Quarters: 2,2023,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha2_1_5_kanal_owner_built_full_furnished_house-54060075-339-1.html
59.5 Lakh,1.9,Marla,Islamabad,"Top City 1, Islamabad221.9 Marla",House,1,Servant Quarters: 1,2023,1,1,1,2,,https://www.zameen.com/Property/islamabad_top_city_1_1_bed_2_beds_3_beds_flats_available_on_easy_instalment_plan-53741019-1383-1.html
4.15 Crore,4,Marla,Islamabad,,House,Bathrooms: 5,Drawing Room,2025,1,,,2,,https://www.zameen.com/Property/g_13_g-13_1_g13_1_brand_new_house_for_sale_size_4_marla-53562403-3337-1.html
10 Crore,1,Kanal,Islamabad,Top City 1,House,Bathrooms: 6,Servant Quarters: 1,2025,2,1,,2,,https://www.zameen.com/Property/islamabad_top_city_1_1_kanal_brand_new_luxury_house_available_for_sale_in_topcity-1-54190008-1383-1.html
85 Lakh,2.1,Marla,Islamabad,,House,,,,,,,1,,https://www.zameen.com/Property/top_city_1_top_city_1_-_kanwar_moiz_block_flat_of_483_square_feet_for_sale_in_top_city_1_-_kanwar_moiz_block-54336928-22390-1.html
3.85 Crore,9.3,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/d_17_margalla_view_housing_society_a_spacious_2100_square_feet_house_in_margalla_view_housing_society-54248090-3160-1.html
2.45 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2025,1,1,1,2,,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_5_marla_25x50_hybrid_unit_house_for_sale_in_faisal_margalla_city_fmc_b-17_islamabad-53980617-3115-1.html
7.6 Crore,10,Marla,Islamabad,,House,Bathrooms: 8,Servant Quarters: 1,,2,1,1,2,,https://www.zameen.com/Property/e_11_e-11_4_buy_a_house_of_10_marla_in_e-11_4-54198780-3241-1.html
18 Crore,5,Kanal,Islamabad,,House,Bathrooms: 12,Servant Quarters: 2,2001,2,2,Steam Room,2,,https://www.zameen.com/Property/gulberg_gulberg_greens_5_kanal_farm_house_grey_structure_for_sale-54241639-8312-1.html
43 Crore,1.9,Kanal,Islamabad,"G-6, Islamabad551.9 Kanal",House,Bathrooms: 5,Servant Quarters: 1,2000,6,1,1,1,,https://www.zameen.com/Property/islamabad_g-6_prime_property_for_sale_in_g-6_islamabad_embassy_road_access_933_sq_yards-54369096-169-1.html
55 Crore,1.3,Kanal,Islamabad,"F-7, Islamabad661.3 Kanal",House,Bathrooms: 6,Servant Quarters: 2,2026,4,2,1,2,,https://www.zameen.com/Property/islamabad_f-7_brand_new_designer_corner_house_for_sale_in_f-7_islamabad_swimming_pool_lift_luxury_living-54369119-165-1.html
4.5 Crore,6,Marla,Islamabad,E-11,House,Bathrooms: 7,Drawing Room,2017,2,,Steam Room,3,,https://www.zameen.com/Property/islamabad_e-11_triple_storey_5_marla_house_for_sale_in_e-11_near_to_markaz_and_main_double_road_kfc_cheezious_150_000_rent_incoming-54119908-329-1.html
5.49 Crore,10,Marla,Islamabad,B-17,House,Bathrooms: 6,Servant Quarters: 1,2026,3,1,1,2,,https://www.zameen.com/Property/islamabad_b-17_10-marla_brand_new_house_for_sale-54333455-616-1.html
3.9 Crore,5,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2026,1,1,1,1,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_5_marla_modern_house_for_sale_in_dha_phase_5_islamabad-54002105-10991-1.html
2.55 Crore,4.2,Marla,Islamabad,,House,1,,,,,,,,https://www.zameen.com/Property/gt_road_zeta-1_mall_luxurious_1_bed_apartment_available_for_sale-54023388-16699-1.html
13 Crore,1,Kanal,Islamabad,,House,Bathrooms: 8,Servant Quarters: 2,2026,3,2,2,2,,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_house_for_sale_in_prime_location_of_dha_2-54277011-339-1.html
37 Crore,1.6,Kanal,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,1985,7,1,1,2,,https://www.zameen.com/Property/f_6_f-6_1_f-6_prime_location_old_house_for_sale_golden_chances_for_investors_end_users-49460350-3299-1.html
65 Crore,1.8,Kanal,Islamabad,"F-8, Islamabad761.8 Kanal",House,Bathrooms: 8,Servant Quarters: 2,2025,6,2,2,2,,https://www.zameen.com/Property/islamabad_f-8_f-8_brand_new_house_for_sale-52763065-166-1.html
10 Crore,9,Marla,Islamabad,,House,Bathrooms: 4,Servant Quarters: 1,2014,2,1,1,1,,https://www.zameen.com/Property/f_8_the_centaurus_the_centaurs_beautiful_flat_for_sale-54364097-8349-1.html
60 Crore,2,Kanal,Islamabad,PKR60 CroreE-7E-7 House For SaleUk Property Advisors and offer a ve...moreAdded: 7 hours ago,House,Bathrooms: 5,Servant Quarters: 2,2012,6,2,1,1,,https://www.zameen.com/Property/islamabad_e-7_e-7_house_for_sale-53699118-343-1.html
